merchant_id,industry,tier,region,plan,tenure_months,avg_monthly_txn,avg_ticket_size,monthly_revenue,days_since_last_txn,revenue_trend_pct,support_tickets_90d,avg_resolution_hours,satisfaction_score,failed_payments_90d,account_manager_calls_90d,features_adopted,integration_active,churned
M100000,eCommerce,Medium,East,Plus,11,243,71.34,17335.62,5,-33.2,1,3.2,7.7,1,0,1,1,1
M100001,Food & Beverage,Medium,South,Plus,22,144,83.12,11969.28,15,-20.5,2,10.5,5.7,0,1,6,1,0
M100002,Travel,Small,North,Standard,42,35,58.95,2063.25,14,13.2,2,15.5,7.2,1,3,3,0,0
M100003,eCommerce,Medium,North,Standard,4,176,41.75,7348.0,32,-10.1,2,10.9,7.0,0,0,1,1,1
M100004,Retail,Small,East,Plus,54,28,106.89,2992.92,19,15.8,2,7.0,9.3,3,1,6,1,0
M100005,Health,Medium,East,Plus,11,223,110.79,24706.17,14,-7.9,3,21.1,7.6,1,0,1,1,1
M100006,eCommerce,Medium,East,Premium,47,90,65.08,5857.2,24,37.6,0,12.2,4.7,0,0,2,0,1
M100007,eCommerce,Small,North,Premium,37,36,119.81,4313.16,36,7.6,1,11.6,5.7,0,2,6,1,0
M100008,Retail,Small,East,Plus,51,39,33.17,1293.63,1,30.0,2,7.6,6.2,2,0,1,1,0
M100009,Food & Beverage,Medium,North,Plus,46,137,50.62,6934.94,9,14.4,1,19.7,6.9,1,1,7,1,0
M100010,Food & Beverage,Small,North,Plus,31,68,13.4,911.2,44,15.7,0,2.3,7.2,0,1,1,1,0
M100011,Travel,Enterprise,South,Plus,45,975,27.68,26988.0,59,-13.6,2,8.2,6.9,1,1,3,1,1
M100012,Services,Medium,East,Standard,21,202,26.31,5314.62,8,28.7,2,13.3,10.0,1,1,3,1,0
M100013,eCommerce,Medium,East,Plus,35,179,71.11,12728.69,29,7.7,3,16.4,6.0,0,1,2,0,0
M100014,Food & Beverage,Small,West,Plus,54,39,28.77,1122.03,8,-18.0,2,29.2,8.4,0,2,5,0,1
M100015,Retail,Medium,West,Plus,6,348,17.119999999999997,5957.76,6,-43.4,2,14.9,6.6,1,0,2,0,1
M100016,Services,Enterprise,South,Premium,21,2852,36.72,104725.44,14,6.1,1,13.8,3.4,3,1,2,0,1
M100017,Retail,Small,West,Plus,2,52,39.36,2046.72,31,36.2,2,6.5,7.6,0,1,4,1,0
M100018,eCommerce,Small,North,Standard,32,59,24.68,1456.12,13,-17.0,0,4.7,9.2,0,1,4,0,1
M100019,Services,Small,West,Standard,47,73,56.49,4123.77,31,-17.7,3,10.1,8.1,0,2,6,0,1
M100020,eCommerce,Small,South,Standard,3,44,62.22,2737.68,33,-4.0,1,10.8,7.5,0,3,1,1,1
M100021,Food & Beverage,Medium,West,Standard,33,381,21.34,8130.54,10,27.2,4,13.7,7.0,0,1,2,1,0
M100022,Health,Small,West,Standard,25,53,77.08,4085.24,10,-37.4,1,14.1,6.1,3,1,1,1,1
M100023,Travel,Medium,East,Standard,47,231,31.88,7364.28,13,-11.3,0,24.9,7.8,1,1,7,1,0
M100024,eCommerce,Small,West,Standard,13,45,39.02,1755.9,16,-19.1,3,13.6,6.2,1,1,5,0,1
M100025,Retail,Small,North,Standard,10,21,68.78,1444.38,14,15.4,0,16.9,5.7,0,2,2,1,0
M100026,Food & Beverage,Small,North,Plus,6,44,39.21,1725.24,17,-0.1,2,7.0,7.9,0,0,5,1,1
M100027,Retail,Medium,East,Plus,25,128,27.92,3573.76,11,-4.6,0,27.3,5.8,0,1,7,0,1
M100028,Retail,Medium,East,Standard,29,125,54.69,6836.25,5,-1.0,1,10.9,9.1,0,2,7,0,0
M100029,eCommerce,Small,North,Standard,55,43,93.14,4005.02,51,20.3,2,29.4,6.9,0,1,8,0,1
M100030,eCommerce,Medium,East,Standard,28,149,87.05,12970.45,9,27.7,1,9.1,5.9,0,1,2,0,0
M100031,Health,Small,North,Standard,11,40,37.16,1486.4,3,25.5,3,10.5,5.2,1,1,2,0,1
M100032,Food & Beverage,Small,West,Standard,42,42,30.59,1284.78,26,15.7,0,5.7,6.4,0,2,7,0,0
M100033,Food & Beverage,Small,North,Standard,4,43,34.19,1470.17,6,33.4,3,7.2,10.0,2,2,8,1,0
M100034,Food & Beverage,Enterprise,South,Standard,21,874,87.55,76518.7,24,-17.5,0,19.6,6.2,1,1,2,0,0
M100035,Retail,Medium,West,Premium,39,301,33.870000000000005,10194.87,9,11.5,3,8.5,8.4,2,1,6,1,0
M100036,Retail,Medium,East,Plus,15,213,116.61,24837.93,58,54.7,2,15.0,4.8,0,2,5,0,0
M100037,Food & Beverage,Small,East,Plus,36,47,68.31,3210.57,39,-37.4,1,4.4,5.6,1,3,8,1,1
M100038,Retail,Small,East,Standard,27,26,51.29,1333.54,13,-8.8,2,34.9,5.6,1,1,2,1,0
M100039,Services,Medium,West,Standard,57,207,36.82,7621.74,22,-19.8,0,19.9,9.3,0,2,3,1,0
M100040,Food & Beverage,Small,South,Premium,17,59,55.1,3250.9,19,9.4,4,23.8,4.3,1,1,5,0,0
M100041,eCommerce,Enterprise,West,Standard,54,1685,27.82,46876.7,9,34.6,2,13.5,5.9,0,0,7,0,0
M100042,eCommerce,Medium,East,Plus,37,166,21.73,3607.18,25,14.8,4,13.7,8.4,0,0,7,1,0
